time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.898025	0.101975	0	0	1	0	0
0.002	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.99963	0.00037037	0.822469	0.177531	0	0	1	0	0
0.003	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.99963	0.00037037	0.764198	0.235802	0	0	1	0	0
0.004	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.708642	0.291358	0	0	1	0	0
0.005	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.678765	0.321235	0	0	1	0	0
0.006	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.631358	0.368642	0	0	1	0	0
0.007	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.608642	0.391358	0	0	1	0	0
0.008	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.587901	0.412099	0	0	1	0	0
0.009	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.572099	0.427901	0	0	1	0	0
0.01	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.554321	0.445679	0	0	1	0	0
0.011	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.527654	0.472346	0	0	1	0	0
0.012	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.521975	0.478025	0	0	1	0	0
0.013	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.515062	0.484938	0	0	1	0	0
0.014	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.511605	0.488395	0	0	1	0	0
0.015	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.509877	0.490123	0	0	1	0	0
0.016	1100.000	4427.71	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4427.71	4422.4	0	0	0.99963	0.00037037	0.511605	0.488272	0.000123457	0	1	0	0
0.017	1100.000	4427.76	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4427.76	4422.4	0	0	0.99963	0.00037037	0.51037	0.489506	0.000123457	0	1	0	0
0.018	1100.000	4427.76	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4427.76	4422.4	0	0	0.99963	0.00037037	0.500494	0.499383	0.000123457	0	1	0	0
0.019	1100.000	4434.61	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.61	4422.39	0	0	1	0	0.492346	0.507654	0	0	1	0	0
0.02	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.495802	0.504198	0	0	1	0	0
0.021	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.497037	0.502963	0	0	1	0	0
0.022	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.494568	0.505432	0	0	1	0	0
0.023	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.49284	0.50716	0	0	1	0	0
0.024	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.493827	0.506173	0	0	1	0	0
0.025	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.485432	0.514568	0	0	1	0	0
0.026	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.487901	0.512099	0	0	1	0	0
0.027	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.491358	0.508642	0	0	1	0	0
0.028	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.486173	0.513827	0	0	1	0	0
0.029	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.482716	0.517284	0	0	1	0	0
0.03	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.99963	0.00037037	0.488395	0.511605	0	0	1	0	0
0.031	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.492593	0.507407	0	0	1	0	0
0.032	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.485679	0.514321	0	0	1	0	0
0.033	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.482222	0.517778	0	0	1	0	0
0.034	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.478765	0.521235	0	0	1	0	0
0.035	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.48321	0.51679	0	0	1	0	0
0.036	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.48716	0.51284	0	0	1	0	0
0.037	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.481481	0.518519	0	0	1	0	0
0.038	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.475802	0.524198	0	0	1	0	0
0.039	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.470617	0.529383	0	0	1	0	0
0.04	1100.000	4434.6	-nan(ind)	-nan(ind)	9	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.474074	0.525926	0	0	1	0	0
