time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	4434.6	-nan(ind)	-nan(ind)	9.02	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.907311	0.092689	0	0	1	0	0
0.002	1100.000	4434.6	-nan(ind)	-nan(ind)	8.73	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.830633	0.169367	0	0	1	0	0
0.003	1100.000	4434.6	-nan(ind)	-nan(ind)	8.57	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.765818	0.234182	0	0	1	0	0
0.004	1100.000	4434.6	-nan(ind)	-nan(ind)	8.47	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.710069	0.289931	0	0	1	0	0
0.005	1100.000	4434.6	-nan(ind)	-nan(ind)	8.38	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.669753	0.330247	0	0	1	0	0
0.006	1100.000	4434.6	-nan(ind)	-nan(ind)	8.32	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.999711	0.000289352	0.634934	0.365066	0	0	1	0	0
0.007	1100.000	4434.6	-nan(ind)	-nan(ind)	8.27	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.610532	0.389468	0	0	1	0	0
0.008	1100.000	4434.6	-nan(ind)	-nan(ind)	8.23	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.999855	0.000144676	0.587191	0.412809	0	0	1	0	0
0.009	1100.000	4434.6	-nan(ind)	-nan(ind)	8.19	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.571084	0.428916	0	0	1	0	0
0.01	1100.000	4434.6	-nan(ind)	-nan(ind)	8.16	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	0.999855	0.000144676	0.553337	0.446663	0	0	1	0	0
0.011	1100.000	4434.6	-nan(ind)	-nan(ind)	8.14	1100	1100	-nan(ind)	1015.9	809.118	4434.6	4422.39	0	0	1	0	0.539062	0.460938	0	0	1	0	0
